trials,participant,valence,S,R,rt,dataset
51,19,8,left,left,0.9002162280395418,weber_violated
52,19,8,left,left,1.0279255626133688,weber_violated
53,19,8,left,left,1.0710306663455562,weber_violated
54,19,8,left,left,0.8887836107658467,weber_violated
55,19,8,left,left,0.7561683221434563,weber_violated
56,19,8,left,left,0.9307332656888869,weber_violated
57,19,8,left,left,0.7975572456617042,weber_violated
58,19,8,left,left,0.8533032622078958,weber_violated
59,19,8,left,left,1.0980586916181927,weber_violated
60,19,8,left,left,1.2088032113957161,weber_violated
61,19,2,right,right,1.3873760173117018,weber_violated
62,19,2,right,right,0.9065707908708407,weber_violated
63,19,2,right,right,1.366098029628536,weber_violated
64,19,2,right,right,1.2334074426004906,weber_violated
65,19,2,right,right,0.8819423977280556,weber_violated
66,19,2,right,right,0.9225794349380503,weber_violated
67,19,2,right,right,0.9780946289315371,weber_violated
68,19,2,right,right,1.5601541750886094,weber_violated
69,19,2,right,right,0.7932643854149344,weber_violated
70,19,2,right,right,1.2764497660720142,weber_violated
71,19,3,right,right,1.2574588360131784,weber_violated
72,19,3,right,right,1.1436542979494035,weber_violated
73,19,3,right,left,1.203094079138315,weber_violated
74,19,3,right,right,1.1490486742585295,weber_violated
75,19,3,right,right,1.3810407675071914,weber_violated
76,19,3,right,right,1.778948640095494,weber_violated
77,19,3,right,right,1.012101338822303,weber_violated
78,19,3,right,left,1.7518172158178222,weber_violated
79,19,3,right,right,2.4491812987852555,weber_violated
80,19,3,right,right,2.8851170709838296,weber_violated
81,19,4,right,right,1.7395112801484616,weber_violated
82,19,4,right,right,2.0330782863230037,weber_violated
83,19,4,right,left,3.101752501404629,weber_violated
84,19,4,right,right,2.1731071810968805,weber_violated
85,19,4,right,left,1.4675228956194737,weber_violated
86,19,4,right,left,2.2822818281075135,weber_violated
87,19,4,right,right,2.3953206488733243,weber_violated
88,19,4,right,right,1.7082793129580016,weber_violated
89,19,4,right,left,2.0598933159327233,weber_violated
90,19,4,right,right,8.44510750502385,weber_violated
91,19,6,right,right,1.9482852483558781,weber_violated
92,19,6,right,right,1.5766394923210647,weber_violated
93,19,6,right,right,1.5340882604100257,weber_violated
94,19,6,right,right,3.8449151785041233,weber_violated
95,19,6,right,left,1.183923025403369,weber_violated
96,19,6,right,left,1.5666140608786192,weber_violated
97,19,6,right,left,2.8165533181826423,weber_violated
98,19,6,right,left,1.5197440767846904,weber_violated
99,19,6,right,right,10.09191099320984,weber_violated
100,19,6,right,right,1.2008752385467998,weber_violated
101,19,7,right,right,1.3638683724702332,weber_violated
102,19,7,right,right,1.5517330944055328,weber_violated
103,19,7,right,right,1.526601653408173,weber_violated
104,19,7,right,right,1.618583522601859,weber_violated
105,19,7,right,right,1.4212858645356838,weber_violated
106,19,7,right,left,3.1382739663137045,weber_violated
107,19,7,right,right,1.3986314866842413,weber_violated
108,19,7,right,right,1.6223897621945802,weber_violated
109,19,7,right,right,1.5282880545110342,weber_violated
110,19,7,right,right,1.409463736694659,weber_violated
111,19,8,right,right,0.8292787232293606,weber_violated
112,19,8,right,right,0.9737751564211217,weber_violated
113,19,8,right,right,0.9626670803745114,weber_violated
114,19,8,right,right,1.1411653306867748,weber_violated
115,19,8,right,right,0.7970815998042267,weber_violated
116,19,8,right,right,0.7810453850507622,weber_violated
117,19,8,right,left,1.476959087271062,weber_violated
118,19,8,right,right,1.4956159334915173,weber_violated
119,19,8,right,right,0.8602168877209317,weber_violated
120,19,8,right,right,1.2333378254159633,weber_violated
1,20,2,left,left,0.9470697946441369,weber_violated
2,20,2,left,left,0.9078488252056804,weber_violated
3,20,2,left,left,0.8745247322828962,weber_violated
4,20,2,left,left,1.11561614464327,weber_violated
5,20,2,left,left,0.8184974170483044,weber_violated
6,20,2,left,left,1.8082572977292528,weber_violated
7,20,2,left,left,0.975964240869649,weber_violated
8,20,2,left,left,1.1100893454026244,weber_violated
9,20,2,left,left,0.9351147810540039,weber_violated
10,20,2,left,left,0.9865565128877924,weber_violated
11,20,3,left,left,1.5486596926534681,weber_violated
12,20,3,left,left,1.103973683868751,weber_violated
13,20,3,left,left,1.1227694821058403,weber_violated
14,20,3,left,left,1.5653210598230665,weber_violated
15,20,3,left,left,1.1959164517487133,weber_violated
16,20,3,left,left,1.3619711522311417,weber_violated
17,20,3,left,left,1.4909147988987481,weber_violated
18,20,3,left,left,0.826640993908859,weber_violated
19,20,3,left,left,1.8062292016203016,weber_violated
20,20,3,left,left,1.6589302194919289,weber_violated
21,20,4,left,left,1.74943014898903,weber_violated
22,20,4,left,right,2.5008929217908795,weber_violated
23,20,4,left,left,3.160772192610335,weber_violated
24,20,4,left,right,2.1630039998076773,weber_violated
25,20,4,left,left,4.4511545605472875,weber_violated
26,20,4,left,left,1.7172359321643471,weber_violated
27,20,4,left,left,3.5671590806527935,weber_violated
28,20,4,left,left,4.149702311587355,weber_violated
29,20,4,left,left,1.9683190665489116,weber_violated
30,20,4,left,left,1.3078601021769372,weber_violated
31,20,6,left,right,1.79614025733565,weber_violated
32,20,6,left,right,2.976818642897047,weber_violated
33,20,6,left,left,1.7180155042489662,weber_violated
34,20,6,left,right,1.9045972216193638,weber_violated
35,20,6,left,left,2.0407724063526747,weber_violated
36,20,6,left,left,1.5117001941725916,weber_violated
37,20,6,left,left,2.1192328384128785,weber_violated
38,20,6,left,left,2.9741914991044824,weber_violated
39,20,6,left,left,2.848303532999708,weber_violated
40,20,6,left,left,1.9496922526168343,weber_violated
41,20,7,left,left,1.3012752026294934,weber_violated
42,20,7,left,left,1.728855704846608,weber_violated
43,20,7,left,left,2.6554280088665783,weber_violated
44,20,7,left,left,1.5481863706180254,weber_violated
45,20,7,left,left,1.2278173390581646,weber_violated
46,20,7,left,left,1.4791181946762413,weber_violated
47,20,7,left,left,1.5079157492250541,weber_violated
48,20,7,left,left,1.7859421080564954,weber_violated
49,20,7,left,left,1.394997293580107,weber_violated
50,20,7,left,right,1.056513968596736,weber_violated
51,20,8,left,left,0.831825304537539,weber_violated
52,20,8,left,left,0.9660175939603226,weber_violated
53,20,8,left,left,0.978473315749925,weber_violated
54,20,8,left,left,0.9389915846494579,weber_violated
55,20,8,left,left,1.0177122127305576,weber_violated
56,20,8,left,left,0.9095158978681532,weber_violated
57,20,8,left,left,0.9260814698160917,weber_violated
58,20,8,left,left,0.8883961660308097,weber_violated
59,20,8,left,left,0.8235479112797972,weber_violated
60,20,8,left,left,0.7939909040256381,weber_violated
61,20,2,right,right,1.1028581833044444,weber_violated
62,20,2,right,right,1.136937963267562,weber_violated
63,20,2,right,right,0.810756571769103,weber_violated
64,20,2,right,right,1.1940043113805046,weber_violated
65,20,2,right,right,1.1249688514350624,weber_violated
66,20,2,right,right,1.195763650221574,weber_violated
67,20,2,right,right,1.0070676938656593,weber_violated
68,20,2,right,right,1.1309045655000387,weber_violated
69,20,2,right,right,1.2131718008270298,weber_violated
70,20,2,right,right,1.0431964508589797,weber_violated
71,20,3,right,right,1.5012111307859173,weber_violated
72,20,3,right,right,1.197968874575245,weber_violated
73,20,3,right,right,1.9486006679185959,weber_violated
74,20,3,right,right,1.0686771742437557,weber_violated
75,20,3,right,right,1.5750511957443531,weber_violated
76,20,3,right,right,1.2503467657223972,weber_violated
77,20,3,right,right,1.053107334039137,weber_violated
78,20,3,right,right,1.5471985996059388,weber_violated
79,20,3,right,right,0.8354567141958007,weber_violated
80,20,3,right,right,1.171797936468688,weber_violated
81,20,4,right,left,1.828466626536436,weber_violated
82,20,4,right,left,1.8406763596114357,weber_violated
83,20,4,right,right,2.738488559348853,weber_violated
84,20,4,right,left,1.8252338649543136,weber_violated
85,20,4,right,right,1.6776062654117088,weber_violated
86,20,4,right,right,3.2649768478593217,weber_violated
87,20,4,right,left,1.805955301620763,weber_violated
88,20,4,right,left,2.659371883855809,weber_violated
89,20,4,right,right,2.0548817969201765,weber_violated
90,20,4,right,left,4.654433142520516,weber_violated
91,20,6,right,right,2.4474504852241363,weber_violated
92,20,6,right,right,1.3442798005904422,weber_violated
93,20,6,right,right,2.3531585317829435,weber_violated
94,20,6,right,left,1.8619366285764676,weber_violated
95,20,6,right,right,5.217060429754603,weber_violated
96,20,6,right,left,1.7689624401170734,weber_violated
97,20,6,right,right,1.7374015009699262,weber_violated
98,20,6,right,right,1.4526990824313841,weber_violated
99,20,6,right,left,1.604683456070178,weber_violated
100,20,6,right,right,3.8144378361424898,weber_violated
101,20,7,right,right,1.0632229502985335,weber_violated
102,20,7,right,right,2.0859992095663302,weber_violated
103,20,7,right,right,1.1727728053038575,weber_violated
104,20,7,right,right,1.1477531434365802,weber_violated
105,20,7,right,right,1.0967626384648357,weber_violated
106,20,7,right,right,1.5884400476282716,weber_violated
107,20,7,right,right,1.3779173260415114,weber_violated
108,20,7,right,right,1.5366740122049454,weber_violated
109,20,7,right,right,1.279667476758778,weber_violated
110,20,7,right,right,1.7391931851584583,weber_violated
111,20,8,right,right,0.9853354147295343,weber_violated
112,20,8,right,right,0.9542833893065192,weber_violated
113,20,8,right,right,1.0918410795678604,weber_violated
114,20,8,right,right,1.0811778305883102,weber_violated
115,20,8,right,right,1.0310217497962986,weber_violated
116,20,8,right,right,1.1327241613327013,weber_violated
117,20,8,right,right,0.8982242585251881,weber_violated
118,20,8,right,right,1.1673817287704575,weber_violated
119,20,8,right,right,1.2000246876730405,weber_violated
120,20,8,right,right,0.7516995814766239,weber_violated
1,21,2,left,left,0.9459671550791944,weber_violated
2,21,2,left,left,1.4034389877959934,weber_violated
3,21,2,left,left,1.0988534779724664,weber_violated
4,21,2,left,left,1.21823961377112,weber_violated
5,21,2,left,left,0.9218325285099402,weber_violated
6,21,2,left,left,1.003441042238468,weber_violated
7,21,2,left,left,1.0763285332203594,weber_violated
8,21,2,left,left,1.0571218563697957,weber_violated
9,21,2,left,left,0.8044535127511481,weber_violated
10,21,2,left,left,0.8838047720341293,weber_violated
11,21,3,left,left,1.294028098208843,weber_violated
12,21,3,left,left,1.1867601637580605,weber_violated
13,21,3,left,left,1.4247724099951915,weber_violated
14,21,3,left,right,1.7693973186825946,weber_violated
15,21,3,left,left,2.240754556921486,weber_violated
16,21,3,left,left,1.6220254716292306,weber_violated
17,21,3,left,left,1.1968700769850256,weber_violated
18,21,3,left,left,1.7896924785115838,weber_violated
19,21,3,left,left,1.1025995899960033,weber_violated
20,21,3,left,left,1.3014456440427424,weber_violated
21,21,4,left,left,1.660667656371689,weber_violated
22,21,4,left,left,1.5333582827985155,weber_violated
23,21,4,left,left,3.4088259190149914,weber_violated
24,21,4,left,left,1.7133181403029942,weber_violated
25,21,4,left,left,1.2665650835177824,weber_violated
26,21,4,left,right,1.7581564811968833,weber_violated
27,21,4,left,left,2.0442529885406544,weber_violated
28,21,4,left,left,2.640470726272175,weber_violated
29,21,4,left,right,3.8928815516872413,weber_violated
30,21,4,left,right,2.213721286645539,weber_violated
31,21,6,left,left,1.2095985175837372,weber_violated
32,21,6,left,right,1.758464971724692,weber_violated
33,21,6,left,right,3.2773503089771223,weber_violated
34,21,6,left,right,2.105449368972955,weber_violated
35,21,6,left,left,1.694568345067988,weber_violated
36,21,6,left,left,1.7877475640447964,weber_violated
37,21,6,left,left,2.1796305122524657,weber_violated
38,21,6,left,left,2.2129141528918255,weber_violated
39,21,6,left,left,1.94657025582305,weber_violated
40,21,6,left,right,2.1006920055398126,weber_violated
41,21,7,left,left,0.9065242484027121,weber_violated
42,21,7,left,left,1.2122812520457769,weber_violated
43,21,7,left,left,1.6797610162687313,weber_violated
44,21,7,left,left,1.306551409651177,weber_violated
45,21,7,left,right,2.479766239971382,weber_violated
46,21,7,left,left,1.6733533068500175,weber_violated
47,21,7,left,left,4.320530754123676,weber_violated
48,21,7,left,left,1.339705324761254,weber_violated
49,21,7,left,right,2.057034970478116,weber_violated
50,21,7,left,left,1.5643272910638644,weber_violated
51,21,8,left,left,0.974369517750767,weber_violated
52,21,8,left,left,1.2885637653828377,weber_violated
53,21,8,left,left,0.7677184190968145,weber_violated
54,21,8,left,left,0.9006935087635741,weber_violated
55,21,8,left,left,0.860578224966082,weber_violated
56,21,8,left,left,0.8776364401403589,weber_violated
57,21,8,left,left,0.938805047977388,weber_violated
58,21,8,left,left,1.0613526610007442,weber_violated
59,21,8,left,left,1.7422203298735626,weber_violated
60,21,8,left,left,0.9482589322153532,weber_violated
61,21,2,right,right,0.9671614640916419,weber_violated
62,21,2,right,right,1.1453870542804556,weber_violated
63,21,2,right,right,0.9554572777010137,weber_violated
64,21,2,right,right,1.031190035713967,weber_violated
65,21,2,right,right,0.8937099880312611,weber_violated
66,21,2,right,right,0.8518956171993128,weber_violated
67,21,2,right,right,1.0167902761299916,weber_violated
68,21,2,right,right,1.0209959587989974,weber_violated
69,21,2,right,right,0.938159153832824,weber_violated
70,21,2,right,right,1.0213222415505003,weber_violated
71,21,3,right,right,1.7702790753913322,weber_violated
72,21,3,right,right,1.2312626849777304,weber_violated
73,21,3,right,right,0.8392986163568834,weber_violated
74,21,3,right,right,1.2800715837016416,weber_violated
75,21,3,right,left,1.9636916068274557,weber_violated
76,21,3,right,right,1.1560601746683905,weber_violated
77,21,3,right,right,1.5277128656985073,weber_violated
78,21,3,right,right,0.8466018108460047,weber_violated
79,21,3,right,right,1.622413050537786,weber_violated
80,21,3,right,right,1.832446272429289,weber_violated
81,21,4,right,right,3.006555024723876,weber_violated
82,21,4,right,left,2.641249874300915,weber_violated
83,21,4,right,left,1.9336622911206767,weber_violated
84,21,4,right,right,2.562353401083442,weber_violated
85,21,4,right,right,1.4341590023498223,weber_violated
86,21,4,right,right,4.060026025596838,weber_violated
87,21,4,right,right,1.8810638105320223,weber_violated
88,21,4,right,right,2.91458649870095,weber_violated
89,21,4,right,left,2.9080512930197973,weber_violated
90,21,4,right,right,1.8659388815769933,weber_violated
91,21,6,right,right,3.002198458944362,weber_violated
92,21,6,right,left,1.6248463975118559,weber_violated
93,21,6,right,right,1.7914431460368418,weber_violated
94,21,6,right,right,2.0111394187366196,weber_violated
95,21,6,right,left,2.4824945258071707,weber_violated
96,21,6,right,right,3.7527194796118883,weber_violated
97,21,6,right,right,1.7766228337363248,weber_violated
98,21,6,right,right,1.507810348590683,weber_violated
99,21,6,right,right,3.5570362105340645,weber_violated
100,21,6,right,left,1.8661700900574922,weber_violated
101,21,7,right,right,1.6733731353736976,weber_violated
102,21,7,right,left,1.7156167672801672,weber_violated
103,21,7,right,right,1.458455401397065,weber_violated
104,21,7,right,right,1.7681167515377905,weber_violated
105,21,7,right,right,2.293479872878966,weber_violated
106,21,7,right,right,1.1047103124462283,weber_violated
107,21,7,right,right,2.274578978914961,weber_violated
108,21,7,right,left,1.6684504936572948,weber_violated
109,21,7,right,right,1.2544137103580963,weber_violated
110,21,7,right,right,1.7653721552010684,weber_violated
111,21,8,right,right,1.1303765298235526,weber_violated
112,21,8,right,right,1.2038849599853145,weber_violated
113,21,8,right,right,0.9284804074536572,weber_violated
114,21,8,right,right,1.3913912202350958,weber_violated
115,21,8,right,right,1.177439977971121,weber_violated
116,21,8,right,right,0.9709871707145834,weber_violated
117,21,8,right,right,0.8831162183696137,weber_violated
118,21,8,right,right,1.9176770691060903,weber_violated
119,21,8,right,right,1.1211128516739546,weber_violated
120,21,8,right,right,0.7978053840583406,weber_violated
1,22,2,left,left,0.9210575946787378,weber_violated
2,22,2,left,left,1.1626748229212727,weber_violated
3,22,2,left,left,1.0242053849588697,weber_violated
4,22,2,left,right,0.9712726738922239,weber_violated
5,22,2,left,left,0.9770488467785536,weber_violated
6,22,2,left,left,0.9382353167917707,weber_violated
7,22,2,left,left,1.1693416809280914,weber_violated
8,22,2,left,left,1.0263886734068284,weber_violated
9,22,2,left,left,0.8880647695352031,weber_violated
10,22,2,left,left,0.9926309843554568,weber_violated
11,22,3,left,left,1.2172834301467108,weber_violated
12,22,3,left,left,2.3919769289169843,weber_violated
13,22,3,left,left,3.4244338303456323,weber_violated
14,22,3,left,right,1.8183858121744865,weber_violated
15,22,3,left,left,1.1516120315003069,weber_violated
16,22,3,left,left,1.2576099515159662,weber_violated
17,22,3,left,left,1.3685809514067413,weber_violated
18,22,3,left,left,1.0009619024761882,weber_violated
19,22,3,left,left,1.3763826465302407,weber_violated
20,22,3,left,left,0.9951824710577435,weber_violated
21,22,4,left,left,2.255149052883077,weber_violated
22,22,4,left,right,2.095645635822833,weber_violated
23,22,4,left,left,2.6151594164814864,weber_violated
24,22,4,left,left,1.9281513152532206,weber_violated
25,22,4,left,left,1.572227283566471,weber_violated
26,22,4,left,left,1.2927256351102998,weber_violated
27,22,4,left,left,1.8141234310868024,weber_violated
28,22,4,left,left,2.9233779599757597,weber_violated
29,22,4,left,left,1.7332387484069065,weber_violated
30,22,4,left,left,1.0679779501971007,weber_violated
31,22,6,left,left,2.371762845762678,weber_violated
32,22,6,left,left,1.3201660460127604,weber_violated
33,22,6,left,right,1.2679150899503413,weber_violated
34,22,6,left,left,1.4369207364704357,weber_violated
35,22,6,left,right,1.2226101940777705,weber_violated
36,22,6,left,left,2.3235358820826075,weber_violated
37,22,6,left,right,2.0505166121218186,weber_violated
38,22,6,left,left,1.8672426179721433,weber_violated
39,22,6,left,right,1.2309945070479673,weber_violated
40,22,6,left,right,1.7454881877445139,weber_violated
41,22,7,left,left,1.1734678188382,weber_violated
42,22,7,left,left,1.8832276377697537,weber_violated
43,22,7,left,left,1.8742947697335284,weber_violated
44,22,7,left,right,1.7322814947088452,weber_violated
45,22,7,left,left,0.817551665177551,weber_violated
46,22,7,left,left,1.0707914712505129,weber_violated
47,22,7,left,left,1.4700646604739533,weber_violated
48,22,7,left,left,1.920882900416897,weber_violated
49,22,7,left,left,1.0593575475082677,weber_violated
50,22,7,left,left,1.13977954401622,weber_violated
51,22,8,left,left,0.7625918830147853,weber_violated
52,22,8,left,left,1.3102794017183876,weber_violated
53,22,8,left,left,0.9247215379471827,weber_violated
54,22,8,left,left,1.0025949785422443,weber_violated
55,22,8,left,left,1.3746544398552494,weber_violated
56,22,8,left,left,0.9798034342544599,weber_violated
57,22,8,left,left,1.1415464664775634,weber_violated
58,22,8,left,right,1.0409013194696144,weber_violated
59,22,8,left,left,0.8988591962139629,weber_violated
60,22,8,left,left,1.4325133850243394,weber_violated
61,22,2,right,right,0.9946534313143012,weber_violated
62,22,2,right,right,1.1687466458222457,weber_violated
63,22,2,right,right,0.883939110192776,weber_violated
64,22,2,right,right,0.9644770484380316,weber_violated
65,22,2,right,right,0.9371500828607944,weber_violated
66,22,2,right,right,0.9219200410113044,weber_violated
67,22,2,right,right,1.2428621243808218,weber_violated
68,22,2,right,right,0.9854505695430389,weber_violated
69,22,2,right,right,0.8674703003052413,weber_violated
70,22,2,right,right,0.8839069328483113,weber_violated
71,22,3,right,right,2.364030319642529,weber_violated
72,22,3,right,right,1.2271932423319187,weber_violated
73,22,3,right,right,1.1726121516003276,weber_violated
74,22,3,right,right,1.3479475541575294,weber_violated
75,22,3,right,right,1.7823011093362144,weber_violated
76,22,3,right,right,1.399620638747261,weber_violated
77,22,3,right,right,1.3948740451941686,weber_violated
78,22,3,right,right,1.6744544690598784,weber_violated
79,22,3,right,right,2.575301040995795,weber_violated
80,22,3,right,right,2.0532664519903774,weber_violated
81,22,4,right,right,1.699381976168214,weber_violated
82,22,4,right,left,1.8190952661027235,weber_violated
83,22,4,right,left,1.3890514100402975,weber_violated
84,22,4,right,left,1.2732585184815526,weber_violated
85,22,4,right,left,2.347085265031691,weber_violated
86,22,4,right,left,2.3123731455056484,weber_violated
87,22,4,right,right,1.6261169911891362,weber_violated
88,22,4,right,left,1.6035752629630236,weber_violated
89,22,4,right,left,2.191913793725525,weber_violated
90,22,4,right,right,2.2188336150021715,weber_violated
91,22,6,right,left,1.6167649507594284,weber_violated
92,22,6,right,left,2.449670932921159,weber_violated
93,22,6,right,left,1.806713716061385,weber_violated
94,22,6,right,left,1.7308492620728202,weber_violated
95,22,6,right,right,3.9296542596741584,weber_violated
96,22,6,right,right,1.6736470181346317,weber_violated
97,22,6,right,left,3.4165121679855206,weber_violated
98,22,6,right,left,1.6697143360391533,weber_violated
99,22,6,right,right,2.880369409704031,weber_violated
100,22,6,right,right,1.809563375371004,weber_violated
101,22,7,right,left,1.9800594864693728,weber_violated
102,22,7,right,right,1.3345402001905418,weber_violated
103,22,7,right,right,1.3000245658419438,weber_violated
104,22,7,right,left,2.059765182584677,weber_violated
105,22,7,right,left,1.5133471542004748,weber_violated
106,22,7,right,right,1.547944747297274,weber_violated
107,22,7,right,right,2.57060882497382,weber_violated
108,22,7,right,right,1.390797392734066,weber_violated
109,22,7,right,right,1.4394409361441216,weber_violated
110,22,7,right,right,1.8465287661785157,weber_violated
111,22,8,right,right,1.183844600365517,weber_violated
112,22,8,right,right,1.5242893875520191,weber_violated
113,22,8,right,right,1.1155546111608758,weber_violated
114,22,8,right,right,1.0458917712228428,weber_violated
115,22,8,right,right,0.9263308070288487,weber_violated
116,22,8,right,right,1.2874310994271987,weber_violated
117,22,8,right,right,0.8163004216497953,weber_violated
118,22,8,right,right,0.9211245234578553,weber_violated
119,22,8,right,right,1.3636941815430665,weber_violated
120,22,8,right,right,0.9981718995908444,weber_violated
1,23,2,left,left,0.7840714519452314,weber_violated
2,23,2,left,left,1.1239211624595702,weber_violated
3,23,2,left,left,0.9490732596555791,weber_violated
4,23,2,left,left,1.6155373967444935,weber_violated
5,23,2,left,left,1.3060968223481013,weber_violated
6,23,2,left,left,1.2865153579005915,weber_violated
7,23,2,left,left,1.0176934842198575,weber_violated
8,23,2,left,left,1.1276018414474256,weber_violated
9,23,2,left,left,0.9185083785760606,weber_violated
10,23,2,left,left,0.8542765979979008,weber_violated
11,23,3,left,left,2.884999013514034,weber_violated
12,23,3,left,left,2.160640304275674,weber_violated
13,23,3,left,left,1.1432045518958136,weber_violated
14,23,3,left,left,2.4625544967526207,weber_violated
15,23,3,left,left,1.6637294730069616,weber_violated
16,23,3,left,left,1.1043302105958177,weber_violated
17,23,3,left,left,1.648352554322854,weber_violated
18,23,3,left,right,1.4786829677700113,weber_violated
19,23,3,left,right,1.8001140936941515,weber_violated
20,23,3,left,left,1.4991391758424695,weber_violated
21,23,4,left,left,1.6393166028639843,weber_violated
22,23,4,left,left,2.393249217344183,weber_violated
23,23,4,left,left,2.482533316374229,weber_violated
24,23,4,left,left,1.5054878958300337,weber_violated
25,23,4,left,left,2.0276221109945616,weber_violated
26,23,4,left,left,1.5786595694708625,weber_violated
27,23,4,left,left,2.699115338387664,weber_violated
28,23,4,left,left,1.8407509643497049,weber_violated
29,23,4,left,left,2.0383474549258636,weber_violated
30,23,4,left,left,2.2044880654083747,weber_violated
31,23,6,left,left,2.523248712545529,weber_violated
32,23,6,left,right,3.013685687380797,weber_violated
33,23,6,left,right,2.415443321798112,weber_violated
34,23,6,left,right,3.7996823513131637,weber_violated
35,23,6,left,left,1.6464488256730978,weber_violated
36,23,6,left,left,2.34595623695282,weber_violated
37,23,6,left,right,2.412370361945566,weber_violated
38,23,6,left,right,1.989224217775385,weber_violated
39,23,6,left,left,1.502024151596865,weber_violated
40,23,6,left,right,1.321001915895966,weber_violated
41,23,7,left,left,3.2331814491900066,weber_violated
42,23,7,left,left,1.1946080269439872,weber_violated
43,23,7,left,left,1.7218508740500444,weber_violated
44,23,7,left,left,0.9206853979825831,weber_violated
45,23,7,left,left,1.5525682015267144,weber_violated
46,23,7,left,left,1.1776505724018014,weber_violated
47,23,7,left,right,1.8601293759824347,weber_violated
48,23,7,left,left,1.03148420954232,weber_violated
49,23,7,left,right,1.950451690979069,weber_violated
50,23,7,left,left,1.5158435202010014,weber_violated
51,23,8,left,left,0.8789436152754033,weber_violated
52,23,8,left,left,0.9582990227435106,weber_violated
53,23,8,left,left,1.0050578095798115,weber_violated
54,23,8,left,left,1.338042248297873,weber_violated
55,23,8,left,left,1.2678826913855201,weber_violated
56,23,8,left,left,0.9730621345626698,weber_violated
57,23,8,left,left,1.1306680743739306,weber_violated
58,23,8,left,left,0.9933644307189313,weber_violated
59,23,8,left,left,0.9930872376857078,weber_violated
60,23,8,left,left,0.9825858676341503,weber_violated
61,23,2,right,right,1.0796305527491155,weber_violated
62,23,2,right,right,1.036601009219813,weber_violated
63,23,2,right,right,1.0868567643856915,weber_violated
64,23,2,right,right,1.2035803563312566,weber_violated
65,23,2,right,right,0.9232883932946487,weber_violated
66,23,2,right,right,0.9604335326120499,weber_violated
67,23,2,right,right,0.8644056264866196,weber_violated
68,23,2,right,right,1.3227396578891093,weber_violated
69,23,2,right,right,0.8445288162287443,weber_violated
70,23,2,right,right,0.957765412981864,weber_violated
71,23,3,right,left,2.721223772456247,weber_violated
72,23,3,right,right,1.2642082487344755,weber_violated
73,23,3,right,left,1.4146419549156402,weber_violated
74,23,3,right,right,1.4498727763298673,weber_violated
75,23,3,right,right,1.2741967661347253,weber_violated
76,23,3,right,right,2.3314001577565047,weber_violated
77,23,3,right,right,1.1179419239685908,weber_violated
78,23,3,right,right,1.1487937114806703,weber_violated
79,23,3,right,right,1.1624666655793447,weber_violated
80,23,3,right,right,1.2429670343490393,weber_violated
81,23,4,right,left,2.9689185020477056,weber_violated
82,23,4,right,right,1.7257155766580745,weber_violated
83,23,4,right,left,1.785364371453074,weber_violated
84,23,4,right,right,1.2880679482388426,weber_violated
85,23,4,right,right,2.5285448754153106,weber_violated
86,23,4,right,right,1.465189780164722,weber_violated
87,23,4,right,right,1.983171460730247,weber_violated
88,23,4,right,right,1.6384756507345022,weber_violated
89,23,4,right,right,0.9710627872950253,weber_violated
90,23,4,right,right,2.1389328954093387,weber_violated
91,23,6,right,right,2.265793299669706,weber_violated
92,23,6,right,right,1.84821917861142,weber_violated
93,23,6,right,right,1.8023326485326823,weber_violated
94,23,6,right,right,1.5711882306597595,weber_violated
95,23,6,right,right,1.9544048023217437,weber_violated
96,23,6,right,left,2.108507827843222,weber_violated
97,23,6,right,left,2.069602253150824,weber_violated
98,23,6,right,right,2.083489667695019,weber_violated
99,23,6,right,right,2.701455600972254,weber_violated
100,23,6,right,right,1.6827657866818366,weber_violated
101,23,7,right,right,1.2892052465716972,weber_violated
102,23,7,right,right,1.1352269501254098,weber_violated
103,23,7,right,right,2.1475995100548895,weber_violated
104,23,7,right,right,1.2425224708764209,weber_violated
105,23,7,right,right,1.2518094208190829,weber_violated
106,23,7,right,left,1.5054128619572171,weber_violated
107,23,7,right,right,1.126814632217618,weber_violated
108,23,7,right,right,1.1637957709360585,weber_violated
109,23,7,right,left,2.523482789771546,weber_violated
110,23,7,right,right,1.2151291043697938,weber_violated
111,23,8,right,right,0.7891968742576163,weber_violated
112,23,8,right,right,1.1683536831058383,weber_violated
113,23,8,right,right,1.0694966634080614,weber_violated
114,23,8,right,right,0.745760797063985,weber_violated
115,23,8,right,right,0.9762777420831872,weber_violated
116,23,8,right,right,2.100979078155705,weber_violated
117,23,8,right,right,1.0776382836850538,weber_violated
118,23,8,right,right,0.9379674718051623,weber_violated
119,23,8,right,right,0.9800891488488395,weber_violated
120,23,8,right,right,1.3821809141733301,weber_violated
1,24,2,left,left,0.9018495688192809,weber_violated
2,24,2,left,left,1.0282309506488303,weber_violated
3,24,2,left,left,1.132301830945054,weber_violated
4,24,2,left,left,0.9339389731346259,weber_violated
5,24,2,left,left,0.9132432160787158,weber_violated
6,24,2,left,left,1.034940719668538,weber_violated
7,24,2,left,left,0.8638829474782024,weber_violated
8,24,2,left,left,1.1081467161506684,weber_violated
9,24,2,left,left,1.2387360517248367,weber_violated
10,24,2,left,left,0.8680607244311154,weber_violated
11,24,3,left,right,2.179089490485587,weber_violated
12,24,3,left,left,2.2030783219465344,weber_violated
13,24,3,left,left,2.470547192875312,weber_violated
14,24,3,left,left,1.0845326746650386,weber_violated
